in:Amount columns X,in:Seed for random numbers,in:Amount columns Y,out:name,out:Number of columns X,out:Number of columns Y,out:Column spacing minimum (mm),out:Beam span maximum (mm),out:Y-Label,img
3,75,3,Structure_3_75_3,5,5,1000,9000,0.232509,True.png
4,75,3,Structure_4_75_3,6,5,1000,9000,0.161845,True.png
5,75,3,Structure_5_75_3,7,5,1000,9000,0.183165,True.png
6,75,3,Structure_6_75_3,8,5,1000,9000,0.118279,True.png
7,75,3,Structure_7_75_3,9,5,1000,9000,0.049917,True.png
3,76,3,Structure_3_76_3,5,5,1000,7000,0.577656,True.png
4,76,3,Structure_4_76_3,6,5,1000,7000,0.547262,True.png
5,76,3,Structure_5_76_3,7,5,1000,7000,0.519214,True.png
6,76,3,Structure_6_76_3,8,5,1000,7000,0.490066,True.png
7,76,3,Structure_7_76_3,9,5,1000,7000,0.588918,True.png
3,77,3,Structure_3_77_3,5,5,1000,7000,0.614376,True.png
4,77,3,Structure_4_77_3,6,5,1000,7000,0.584609,True.png
5,77,3,Structure_5_77_3,7,5,1000,7000,0.631765,True.png
6,77,3,Structure_6_77_3,8,5,1000,7000,0.61533,True.png
